numerology,speed,block size,mcs,channel,beta,mse
0,0,512,12,CDL_D,0.5992848651040577,0.0268926738579022
0,0,1024,12,CDL_A,3.267165956392172,0.04836891096156246
0,0,1024,12,CDL_D,2.5410532042628295,0.029396616347004596
0,0,2048,12,CDL_A,3.0720686702067947,0.0494705329903475
0,0,2048,12,CDL_D,1.2800289000174883,0.033815420935737084
0,0,4096,12,CDL_A,3.449594676238547,0.046660495134253195
0,0,4096,12,CDL_D,1.9883892536252072,0.03238259513230944
0,0,8192,12,CDL_A,4.014284814910748,0.04217994488734521
0,0,8192,12,CDL_D,2.6467632051868426,0.04269781877074526
0,0,256,13,CDL_A,0.8199201903045934,0.06414029676510442
0,0,256,13,CDL_D,0.9999577889278821,0.026027509468441356
0,0,512,13,CDL_A,7.706951126798667,0.05959487879635263
0,0,512,13,CDL_D,1.400556738148453,0.027142147739408706
0,0,1024,13,CDL_A,3.8866602354745865,0.04623224640970891
0,0,1024,13,CDL_D,1.7873125387502853,0.02919575373082871
0,0,2048,13,CDL_A,4.050768784686062,0.049146327232190375
0,0,2048,13,CDL_D,1.5714508898409445,0.0314370221546554
0,0,4096,13,CDL_A,3.844498607206897,0.04564648830007345
0,0,4096,13,CDL_D,2.570289673813206,0.0317976805772318
0,0,8192,13,CDL_A,5.622219077106039,0.04241904976769784
0,0,8192,13,CDL_D,3.209098955747163,0.04578562048331926
0,0,256,14,CDL_A,0.8198853697062592,0.06406503566318937
0,0,256,14,CDL_D,0.9999308062134142,0.02825979983260138
0,0,512,14,CDL_A,5.919094274772486,0.06037516919179792
0,0,512,14,CDL_D,0.9913700416466007,0.028100393650537504
0,0,1024,14,CDL_A,6.240210463064073,0.04614804238890574
0,0,1024,14,CDL_D,2.461081377838016,0.029449935741710887
0,0,2048,14,CDL_A,6.787709179019987,0.05256170779051585
0,0,2048,14,CDL_D,2.339827572410289,0.03295942355799238
0,0,4096,14,CDL_A,6.060308419465093,0.04510036731814031
0,0,4096,14,CDL_D,3.2394596334103505,0.032594673140559534
0,0,8192,14,CDL_A,7.893282389290581,0.04106077065093861
0,0,8192,14,CDL_D,4.195313388982943,0.042212305797778626
0,0,256,15,CDL_A,9.999995226107398,0.0651975392469762
0,0,256,15,CDL_D,9.999998913134606,0.029608031117382482
0,0,512,15,CDL_A,8.878208466833573,0.057382958375665406
0,0,512,15,CDL_D,4.295153128094101,0.029137448238954672
0,0,1024,15,CDL_A,7.81135965508364,0.04867480129260564
0,0,1024,15,CDL_D,5.2265558774017,0.03064244511409416
0,0,2048,15,CDL_A,8.147464225543981,0.04968289392342022
0,0,2048,15,CDL_D,2.666455997472684,0.033479110027276965
0,0,4096,15,CDL_A,9.501145911733962,0.04477211876104029
0,0,4096,15,CDL_D,6.123385894148139,0.03283575146716637
0,0,8192,15,CDL_A,11.489243122436477,0.039964745021763705
0,0,8192,15,CDL_D,9.999913928665112,0.04329412875179684
0,0,256,16,CDL_A,9.99999583771665,0.06434772676444298
0,0,256,16,CDL_D,9.999998771726098,0.030755264529177512
0,0,512,16,CDL_A,14.698652128089615,0.05631403498746187
0,0,512,16,CDL_D,6.040015386355944,0.03036430127789938
0,0,1024,16,CDL_A,11.8411529347075,0.046276182693402036
0,0,1024,16,CDL_D,5.3543577166762235,0.030646904440932887
0,0,2048,16,CDL_A,11.451615473880148,0.04937000042353236
0,0,2048,16,CDL_D,5.9434676751803766,0.03526267910470922
0,0,4096,16,CDL_A,12.892191605015345,0.04330699145480808
0,0,4096,16,CDL_D,9.210247381865706,0.032845643792815016
0,0,8192,16,CDL_A,15.901958938560568,0.039377935162396446
0,0,8192,16,CDL_D,9.99994641739195,0.04205263460061602
0,0,256,17,CDL_A,9.999996415299709,0.06254238787364991
0,0,256,17,CDL_D,9.999999288861583,0.026057830816179295
0,0,512,17,CDL_A,7.133265392128156,0.05458303079175507
0,0,512,17,CDL_D,6.125656260579203,0.026974077257055973
0,0,1024,17,CDL_A,13.427561977141394,0.04999149601012352
0,0,1024,17,CDL_D,7.698397451590995,0.02883356958642034
0,0,2048,17,CDL_A,12.599916198487515,0.04816521788004047
0,0,2048,17,CDL_D,5.574074959752798,0.02987341575510638
0,0,4096,17,CDL_A,13.54940441553722,0.044330374016480725
0,0,4096,17,CDL_D,10.290374529696072,0.030905986587912965
0,0,8192,17,CDL_A,15.921038554332691,0.042914149623559696
0,0,8192,17,CDL_D,13.907258418483803,0.03774489601216661
